City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Carnarvon,0,AU,1579794362,78,-24.87,113.63,77,20.8
Hilo,20,US,1579794362,63,19.73,-155.09,66.2,8.05
George Town,20,MY,1579794069,79,5.41,100.34,84.2,6.93
Lata,40,PT,1579794362,76,40.16,-8.33,57,5.82
Mar del Plata,40,AR,1579794101,51,-38,-57.56,91.99,13.87
East London,75,ZA,1579794362,78,-33.02,27.91,71.6,11.41
Busselton,0,AU,1579794139,49,-33.65,115.33,62.01,13.22
Kapaa,1,US,1579794204,88,22.08,-159.32,69.8,5.82
Puerto Ayora,20,EC,1579794363,74,-0.74,-90.35,80.6,6.93
Jamestown,1,US,1579794363,50,42.1,-79.24,33.8,4.7
Powell,1,US,1579794363,64,40.16,-83.08,37,5.7
Bredasdorp,42,ZA,1579794200,56,-34.53,20.04,73.99,23.04
Saint-Pierre,100,RE,1579794363,83,-21.34,55.48,82.4,9.17
Bengkulu,99,ID,1579794363,95,-3.8,102.27,74.61,5.28
Gravdal,40,NO,1579794364,86,68.12,13.5,37.4,8.05
Bambous Virieux,75,MU,1579794364,74,-20.34,57.76,84.2,3.36
Longyearbyen,20,SJ,1579794220,60,78.22,15.64,6.8,39.15
Samarkand,75,UZ,1579794364,52,39.65,66.96,42.8,13.87
Ushuaia,75,AR,1579794364,66,-54.8,-68.3,57.2,3.36
Morehead,90,US,1579794364,51,37.27,-87.18,42.8,3.36
Nuuk,100,GL,1579794345,62,64.18,-51.72,23,34.45
Rikitea,0,PF,1579794365,79,-23.12,-134.97,78.84,18.57
Kuala Terengganu,20,MY,1579794365,83,5.33,103.14,80.6,4.7
Butaritari,32,KI,1579794365,71,3.07,172.79,84.07,8.37
Ilulissat,20,GL,1579794365,60,69.22,-51.1,6.8,24.16
Port Blair,84,IN,1579794365,77,11.67,92.75,80.73,13.71
Mataura,2,NZ,1579794365,92,-46.19,168.86,54,1.99
Takoradze,77,GH,1579794366,34,4.88,-1.76,97,4.74
Alofi,80,NU,1579794366,100,-19.06,-169.92,68,1.12
Zaysan,64,KZ,1579794366,70,47.47,84.87,12.79,1.39
Peterhead,74,GB,1579794366,71,57.51,-1.8,50,8.05
Hermanus,0,ZA,1579794366,63,-34.42,19.23,84,18.01
Guerrero Negro,0,MX,1579794366,81,27.98,-114.06,57.56,3.56
Arraial do Cabo,75,BR,1579794235,78,-22.97,-42.03,80.6,8.05
Cabo San Lucas,5,MX,1579794347,87,22.89,-109.91,63,4.7
Praia da Vitoria,40,PT,1579794367,72,38.73,-27.07,60.8,14.29
Alice Springs,50,AU,1579794367,23,-23.7,133.88,86,10.29
Kyzyl-Suu,53,KG,1579794367,67,42.34,78,20.41,7.65
Semenivka,67,UA,1579794367,61,52.18,32.58,29.41,13.44
Newport,90,GB,1579794367,93,51.59,-3,45,4.7
Lixouri,20,GR,1579794368,71,38.2,20.43,57.2,14.99
Chodavaram,20,IN,1579794368,94,17.83,82.95,71.6,2.24
Matagami,90,CA,1579794368,92,49.75,-77.63,17.6,8.05
Bengbu,100,CN,1579794368,80,32.94,117.36,45.28,8.61
Hobart,40,AU,1579794368,62,-42.88,147.33,55,14.99
Sandane,75,NO,1579794368,87,61.77,6.21,44.6,14.99
Albany,75,US,1579794368,68,42.6,-73.97,35.01,1.45
Mitsamiouli,90,KM,1579794422,94,-11.38,43.28,78.8,13.87
Provideniya,0,RU,1579794422,79,64.38,-173.3,-14.28,2.17
